city,lat,lng,country,iso2,continent,adjectives
Zhangzhou,24.513,117.647,China,CN,Asia,"{'central': 3, 'urban': 3, 'proper': 2, 'imperial': 2, 'local': 2, 'pe̍h': 2, '19th': 2, 'single': 2, 'humid': 2, 'fujianese': 2, 'late': 2, 'communist': 2, 'official': 2, 'southeast': 1, 'atonal': 1, 'former': 1, 'separate': 1, 'southern': 1, 'urbanized': 1, 'southeastern': 1, 'longyan': 1, 'subtropical': 1, 'warm': 1, 'long': 1, 'hot': 1, 'monthly': 1, 'annual': 1, '°': 1, 'free': 1, 'prosperous': 1, 'early': 1, 'primary': 1, 'extensive': 1, 'internal': 1, 'maritime': 1, 'good': 1, 'open': 1, 'wooden': 1, 'equal': 1, 'old': 1, 'western': 1, 'unable': 1, 'substantial': 1, 'administrative': 1, 'entire': 1, 'metropolitan': 1, 'rural': 1, 'traditional': 1, 'artistic': 1, 'few': 1}"
Currimao,18.0203,120.4864,Philippines,PH,Asia,"{'square': 2, 'local': 2, 'elementary': 2, 'provincial': 1, 'congressional': 1, 'chief': 1, 'municipal': 1, 'legislative': 1, 'secondary': 1, 'external': 1}"
Bamban,15.2742,120.5669,Philippines,PH,Asia,"{'bamban': 3, 'small': 3, 'vast': 2, 'wild': 2, 'thick': 2, 'presidente': 2, 'prominent': 2, 'square': 2, 'mabamban': 1, 'west': 1, 'lush': 1, 'tall': 1, 'native': 1, 'fertile': 1, 'new': 1, 'official': 1, 'military': 1, 'few': 1, 'political': 1, 'whole': 1, 'ongoing': 1, 'fast': 1, 'big': 1, 'subsequent': 1, 'higher': 1, 'significant': 1, 'criminal': 1, 'only': 1, 'interim': 1, 'municipal': 1, 'common': 1, 'mountainous': 1, 'western': 1, 'provincial': 1, 'noted': 1, 'ethnic': 1, 'known': 1, 'last': 1, 'external': 1}"
Bozhou,33.8463,115.7786,China,CN,Asia,"{'humid': 2, 'annual': 2, 'monthly': 2, 'traditional': 2, 'northwestern': 1, 'urban': 1, 'rural': 1, 'subtropical': 1, 'distinct': 1, 'mean': 1, 'damp': 1, 'cold': 1, 'hot': 1, 'concentrated': 1, 'warmer': 1, 'possible': 1, 'bright': 1, 'extinct': 1, 'regnal': 1, 'little': 1, 'easy': 1, 'small': 1, 'few': 1, 'underdeveloped': 1, 'coastal': 1, 'primary': 1, 'notable': 1, 'last': 1, 'renowned': 1, 'general': 1, 'legendary': 1, 'external': 1}"
Dom Pedrito,-30.9828,-54.6728,Brazil,BR,South America,"{'huge': 2, 'few': 2, 'nearby': 1, 'oriental': 1, 'short': 1, 'small': 1, 'municipal': 1, 'illegal': 1, 'armed': 1, 'geographic': 1, 'twentieth': 1, '21st': 1, 'industrial': 1, 'catholic': 1, 'last': 1, 'considerable': 1, 'notable': 1, '=': 1, 'external': 1}"
Łaziska Górne,50.15,18.85,Poland,PL,Europe,"{'oldest': 2, 'southern': 1, 'outer': 1, 'urban': 1, 'greater': 1, 'metropolitan': 1, 'upper': 1, 'last': 1, 'youngest': 1, 'medieval': 1, 'political': 1, 'temporary': 1, 'subsequent': 1, 'former': 1, 'local': 1, 'forced': 1, 'new': 1}"
Piatra Neamţ,46.9275,26.3708,Romania,RO,Europe,"{'local': 6, 'historical': 3, 'important': 3, 'former': 2, 'oldest': 2, 'aeneolithic': 2, 'political': 2, '15th': 2, 'urban': 2, 'industrial': 2, 'communist': 2, 'short': 2, 'northeastern': 1, 'privileged': 1, 'picturesque': 1, 'right': 1, 'nearest': 1, 'separate': 1, 'new': 1, 'larger': 1, 'inhabited': 1, 'human': 1, 'present': 1, 'higher': 1, 'remarkable': 1, 'archaeological': 1, 'dacian': 1, '2nd': 1, 'whole': 1, 'powerful': 1, 'military': 1, 'moldavian': 1, 'tall': 1, '24th': 1, 'ethnic': 1, 'agricultural': 1, 'pharmaceutical': 1, 'recent': 1, 'commercial': 1, 'synthetic': 1, 'mobile': 1, 'actual': 1, 'online': 1, 'last': 1, 'overhead': 1, 'suburban': 1, 'intercity': 1, 'cultural': 1, 'classical': 1, 'musical': 1}"
Le Bardo,36.8092,10.1406,Tunisia,TN,Africa,"{'new': 3, '18th': 2, 'political': 2, 'important': 2, 'military': 2, 'residential': 2, '14th': 1, 'intellectual': 1, 'religious': 1, 'ancient': 1, 'princely': 1, 'andalusian': 1, 'permanent': 1, 'luxurious': 1, 'further': 1, 'ceremonial': 1, 'round': 1, 'domed': 1, 'early': 1, '19th': 1, 'senior': 1, 'royal': 1, 'polytechnic': 1, 'active': 1, 'southern': 1, 'antique': 1, 'few': 1, 'key': 1, 'rapid': 1, 'working': 1, 'terrorist': 1, 'dead': 1, 'beylical': 1, 'former': 1, 'oldest': 1, 'renowned': 1, 'mosaic': 1, 'richest': 1, 'external': 1, 'official': 1}"
Minneapolis,44.9635,-93.2678,United States,US,North America,"{'black': 13, 'new': 11, 'professional': 7, 'open': 7, 'early': 6, 'federal': 6, 'square': 6, 'military': 6, 'white': 6, 'free': 6, 'independent': 6, 'only': 5, 'financial': 5, 'previous': 5, 'non': 5, 'highest': 5, '20th': 5, 'racial': 5, 'special': 5, 'metropolitan': 4, '19th': 4, '21st': 4, 'modern': 4, 'best': 4, 'south': 4, 'single': 4, 'common': 4, 'former': 4, 'light': 4, 'populous': 3, 'direct': 3, 'native': 3, 'nonprofit': 3, 'successful': 3, 'municipal': 3, 'local': 3, 'final': 3, 'physical': 3, 'long': 3, 'citywide': 3, 'secondary': 3, 'civic': 3, 'hispanic': 3, 'regional': 3, 'literary': 3, 'opioid': 3, 'artesian': 2, 'flat': 2, 'hot': 2, 'humid': 2}"
Yorii,36.1183,139.193,Japan,JP,Asia,"{'annual': 2, 'local': 2, 'square': 1, 'northwestern': 1, 'central': 1, 'humid': 1, 'subtropical': 1, 'warm': 1, 'cool': 1, 'wettest': 1, 'highest': 1, 'lowest': 1, 'castle': 1, 'modern': 1, 'unicameral': 1, '11th': 1, 'lower': 1, 'elementary': 1, 'middle': 1, 'olympic': 1, 'external': 1}"
Doha,25.2867,51.5333,Qatar,QA,Asia,"{'new': 20, '20th': 11, 'non': 7, 'south': 6, 'official': 6, 'significant': 6, 'traditional': 6, 'various': 5, 'eastern': 5, 'modern': 5, 'old': 5, 'architectural': 5, 'cultural': 5, 'highest': 5, 'real': 5, 'commercial': 4, 'global': 4, 'political': 4, 'further': 4, 'important': 4, 'small': 4, 'long': 4, 'educational': 4, 'older': 4, 'latter': 4, 'numerous': 4, 'best': 4, 'top': 4, 'concrete': 4, 'arabic': 3, 'shallow': 3, 'square': 3, 'original': 3, 'only': 3, 'internal': 3, 'present': 3, 'western': 3, 'natural': 3, 'economic': 3, 'formal': 3, 'late': 3, '21st': 3, 'artificial': 3, 'central': 3, 'latest': 3, 'inner': 3, 'financial': 2, 'administrative': 2, 'medical': 2, 'local': 2}"
New Smyrna Beach,29.0249,-80.9652,United States,US,North America,"{'square': 6, 'professional': 6, 'former': 4, 'local': 3, 'few': 3, 'dry': 3, 'older': 3, 'top': 2, 'northeastern': 2, 'small': 2, 'humid': 2, 'subtropical': 2, 'hot': 2, 'frequent': 2, 'historic': 2, 'further': 2, 'racial': 2, 'hispanic': 2, 'present': 2, 'congressional': 2, 'political': 2, 'official': 2, 'west': 1, 'coastal': 1, 'outdoor': 1, 'best': 1, 'regional': 1, 'touchtone': 1, 'modern': 1, 'future': 1, 'sugarcane': 1, 'due': 1, 'historical': 1, 'white': 1, '19th': 1, 'naval': 1, 'rapid': 1, 'commercial': 1, 'popular': 1, 'seaside': 1, 'permanent': 1, 'unincorporated': 1, 'warm': 1, 'rainy': 1, 'long': 1, 'severe': 1, 'central': 1, 'pleasant': 1, 'sunny': 1, 'direct': 1}"
Andenne,50.4833,5.1,Belgium,BE,Europe,"{'abbess': 2, 'central': 1, '7th': 1, 'notable': 1, 'younger': 1, 'external': 1}"
Araruama,-22.8728,-42.3428,Brazil,BR,South America,"{'good': 5, 'great': 4, 'calm': 4, 'ideal': 4, 'recent': 3, 'small': 3, 'much': 3, 'warm': 3, 'busy': 3, 'future': 2, 'entire': 2, 'wide': 2, 'due': 2, 'blue': 2, 'excellent': 2, 'plain': 1, 'geographic': 1, 'controversial': 1, 'economic': 1, 'beautiful': 1, 'varied': 1, 'abundant': 1, 'little': 1, 'whole': 1, 'numerous': 1, 'lowest': 1, 'various': 1, 'higher': 1, 'fastest': 1, 'fast': 1, 'geographical': 1, 'worth': 1, 'greater': 1, 'amazonian': 1, 'precolonial': 1, 'utilitarian': 1, 'ceramic': 1, 'different': 1, 'archaeological': 1, 'particular': 1, 'oldest': 1, 'colonial': 1, 'present': 1, 'historic': 1, 'current': 1, 'technical': 1, 'few': 1, 'commercial': 1, 'attractive': 1, 'icy': 1}"
Kaspi,41.9244,44.4189,Georgia,GE,Asia,"{'oldest': 2, 'central': 1, 'early': 1, 'amilakhvari': 1, 'noble': 1, '15th': 1, 'industrial': 1, '4th': 1, 'important': 1, 'old': 1, 'late': 1, 'historical': 1, '8th': 1, '20th': 1, 'richest': 1, 'human': 1, 'archaeological': 1, 'external': 1, 'regional': 1}"
Pinar del Río,22.4122,-83.6719,Cuba,CU,North America,"{'tropical': 2, 'historical': 2, 'last': 1, 'nomadic': 1, 'advanced': 1, 'indigenous': 1, 'peaceful': 1, 'passive': 1, 'extinct': 1, 'little': 1, 'firsthand': 1, 'archaic': 1, 'archeological': 1, 'own': 1, 'late': 1, 'rich': 1, 'open': 1, 'delicate': 1, 'native': 1, 'fragrant': 1, 'perishable': 1, 'warm': 1, 'rural': 1, 'local': 1, 'post': 1, 'secondary': 1, 'notable': 1, 'external': 1}"
Opovo,45.0514,20.4247,Serbia,RS,Europe,"{'ethnic': 5, 'serb': 4, 'autonomous': 2, 'modern': 2, 'elementary': 2, 'neolithic': 1, 'roman': 1, 'older': 1, 'medieval': 1, 'southern': 1, 'local': 1, 'historical': 1, '18th': 1, 'catholic': 1, '19th': 1, 'military': 1, 'absolute': 1, 'yugoslav': 1, 'axis': 1, 'new': 1, 'socialist': 1, 'separate': 1, 'cultural': 1, 'non': 1, 'profit': 1, 'wireless': 1, 'geografske': 1, '=': 1, 'external': 1}"
Meinerzhagen,51.1167,7.6333,Germany,DE,Europe,"{'bottom': 4, 'red': 3, 'top': 3, 'yellow': 2, 'black': 2, 'highest': 1, 'lowest': 1, 'administrative': 1, 'communal': 1, 'blue': 1, 'extinct': 1, '17th': 1, 'white': 1, 'individual': 1, 'least': 1, 'green': 1, 'similar': 1, 'historic': 1, 'middle': 1, 'notable': 1, 'professional': 1, 'hourly': 1, 'direct': 1, 'external': 1, 'official': 1}"
Corner Brook,48.9287,-57.926,Canada,CA,North America,"{'professional': 4, 'heavy': 4, 'similar': 3, 'municipal': 3, 'former': 3, 'western': 2, 'northern': 2, 'less': 2, 'retail': 2, 'provincial': 2, 'last': 2, 'highest': 2, 'smallest': 1, 'administrative': 1, 'nearby': 1, '19th': 1, 'distinct': 1, 'unique': 1, 'commercial': 1, 'industrial': 1, 'present': 1, 'regional': 1, 'wide': 1, 'federal': 1, 'ethnic': 1, 'multi': 1, 'sport': 1, 'annual': 1, 'strong': 1, 'visual': 1, 'newest': 1, 'round': 1, 'repertory': 1, 'regular': 1, 'various': 1, 'classical': 1, 'literary': 1, 'late': 1, 'only': 1, 'available': 1, 'current': 1, 'south': 1, 'local': 1, 'humid': 1, 'continental': 1, 'typical': 1, 'warmer': 1, 'due': 1, 'maritime': 1, 'colder': 1}"
Sarmera,25.2564,85.7988,India,IN,Asia,"{'infrastructural': 2, 'royal': 1, 'southern': 1, 'plain': 1, 'recorded': 1, 'commercial': 1, 'significant': 1, 'new': 1, 'fast': 1, 'lower': 1, 'male': 1, 'female': 1, 'traditional': 1, 'liberal': 1, 'social': 1, 'important': 1, 'better': 1, 'good': 1, 'necessary': 1, 'common': 1, 'rectangular': 1, 'round': 1}"
Herve,50.6394,5.7942,Belgium,BE,Europe,"{'square': 2, '17th': 2, 'km2': 1, 'municipal': 1, 'smaller': 1, '13th': 1, 'crooked': 1, 'better': 1, 'historic': 1, 'mediaeval': 1, 'notable': 1, 'external': 1}"
Kamonkoli,1.075,34.0956,Uganda,UG,Africa,"{'biggest': 2, 'mixed': 2, 'primary': 2, 'famous': 2, 'eastern': 1, 'central': 1, 'annual': 1, 'plastic': 1, 'few': 1, 'small': 1, 'late': 1, 'various': 1, 'notable': 1, 'list10': 1}"
Lamballe,48.4694,-2.5167,France,FR,Europe,"{'former': 3, 'famous': 2, '16th': 2, 'northwestern': 1, 'new': 1, 'commune': 1, 'regional': 1, 'last': 1, 'early': 1, 'close': 1, 'native': 1, '18th': 1, 'lamballais': 1, 'beautiful': 1, '13th': 1, '14th': 1, '11th': 1, 'important': 1, 'exceptional': 1, 'weekly': 1, 'finest': 1, 'wide': 1, 'local': 1, 'delicious': 1, 'sweet': 1, 'familiar': 1, 'memorial': 1, 'external': 1, 'official': 1}"
Jōsō,36.0236,139.9938,Japan,JP,Asia,"{'jōsō': 3, 'annual': 2, 'professional': 2, 'square': 1, 'expatriate': 1, 'southwestern': 1, 'central': 1, 'prefectural': 1, 'flat': 1, 'continental': 1, 'warm': 1, 'cool': 1, 'light': 1, 'wettest': 1, 'highest': 1, 'lowest': 1, 'modern': 1, 'much': 1, 'heavy': 1, 'unicameral': 1, 'lower': 1, 'mixed': 1, 'industrial': 1, 'farmland': 1, 'elementary': 1, 'middle': 1, 'additional': 1, 'primary': 1, 'local': 1, 'notable': 1, 'contemporary': 1, 'external': 1}"
Poti,42.15,41.6667,Georgia,GE,Asia,"{'naval': 5, 'russo': 4, 'early': 3, 'roman': 3, 'principal': 3, 'soviet': 3, 'new': 3, 'military': 3, 'ancient': 2, 'industrial': 2, 'local': 2, 'medieval': 2, 'classical': 2, '6th': 2, 'long': 2, 'important': 2, '2nd': 2, 'modern': 2, 'western': 2, 'next': 2, 'south': 2, 'highest': 2, 'coastal': 2, 'eastern': 1, '20th': 1, 'scholarly': 1, 'non': 1, 'hellenic': 1, 'semitic': 1, 'recorded': 1, 'very': 1, 'famed': 1, 'semi': 1, 'mythological': 1, 'academic': 1, 'underwater': 1, 'tough': 1, 'exact': 1, 'open': 1, 'due': 1, 'geomorphological': 1, 'lower': 1, 'prone': 1, 'vital': 1, 'active': 1, '8th': 1, 'maritime': 1, '14th': 1, 'lived': 1, 'caucasian': 1}"
Ter Apel,52.8756,7.0597,Netherlands,NL,Europe,"{'northern': 1, 'southern': 1, 'thirteenth': 1, 'chief': 1, 'agricultural': 1, '19th': 1, 'navigable': 1, 'recreational': 1, '20th': 1, 'recognisable': 1, 'external': 1, 'digital': 1}"
Saransk,54.1833,45.1833,Russia,RU,Europe,"{'official': 5, 'new': 5, 'administrative': 4, 'soviet': 4, 'municipal': 4, 'industrial': 4, 'small': 4, 'regional': 4, 'nearby': 3, 'federal': 3, 'effective': 3, 'economic': 2, 'uezds': 2, 'mordovian': 2, 'notable': 2, 'common': 2, 'provincial': 2, 'daily': 2, 'free': 2, 'professional': 2, 'financial': 1, 'southeastern': 1, 'current': 1, 'important': 1, 'front': 1, 'old': 1, 'wide': 1, 'massive': 1, 'residential': 1, 'rural': 1, 'equal': 1, 'chilly': 1, 'warm': 1, 'hot': 1, 'cold': 1, 'short': 1, 'mean': 1, 'electrical': 1, 'thermal': 1, 'electronic': 1, 'ethnic': 1, 'co': 1, 'larger': 1, 'attractive': 1, 'outright': 1, 'smaller': 1, 'technical': 1, 'various': 1, 'extensive': 1, 'athletic': 1}"
Bishenpur,24.6282,93.761,India,IN,Asia,"{'ancient': 3, 'vishnu': 1, 'official': 1, 'likely': 1, '18th': 1, 'administrative': 1, 'sole': 1, 'fierce': 1, 'armed': 1, 'civic': 1, 'municipal': 1, 'male': 1, 'female': 1, 'available': 1, 'small': 1, 'natural': 1, 'picturesque': 1, 'panoramic': 1, 'higher': 1, 'sure': 1, 'ecological': 1, '15th': 1, 'present': 1, 'historical': 1, 'important': 1, 'religious': 1, 'very': 1, 'little': 1, 'regular': 1}"
Parsippany,40.8645,-74.4135,United States,US,North America,"{'best': 8, 'western': 7, 'square': 7, 'present': 5, 'older': 5, 'presidential': 4, '26th': 3, 'own': 3, 'racial': 3, 'hispanic': 3, 'different': 3, 'general': 3, 'legislative': 3, 'small': 2, 'various': 2, 'central': 2, 'diverse': 2, 'highest': 2, 'married': 2, 'female': 2, 'smaller': 2, 'single': 2, 'nuclear': 2, 'notable': 2, 'eighth': 2, 'local': 2, 'municipal': 2, 'partisan': 2, '11th': 2, 'gubernatorial': 2, 'twelfth': 2, 'northern': 1, 'native': 1, 'parsipanong': 1, 'populous': 1, '33rd': 1, 'tundra': 1, 'late': 1, '40th': 1, '45th': 1, 'hostile': 1, 'independent': 1, 'flat': 1, 'fertile': 1, 'fresh': 1, 'suitable': 1, 'successful': 1, '19th': 1, 'anti': 1, 'slavery': 1}"
Wolsztyn,52.1167,16.1167,Poland,PL,Europe,"{'locomotive': 3, 'western': 2, '18th': 2, 'present': 2, 'notable': 2, 'local': 2, 'smaller': 1, 'administrative': 1, 'historic': 1, 'small': 1, 'municipal': 1, 'classical': 1, 'early': 1, '20th': 1, 'nearby': 1, 'current': 1, 'swampy': 1, 'cistercian': 1, 'successful': 1, 'prussian': 1, 'equal': 1, 'nazi': 1, 'various': 1, 'forced': 1, 'active': 1, 'historical': 1, 'noble': 1, 'adjacent': 1, 'only': 1, 'standard': 1, 'regular': 1, 'annual': 1, 'jewish': 1, 'wronskian': 1, 'determinant': 1, 'external': 1, 'wolsztyn': 1}"
Vetralla,42.3106,12.0792,Italy,IT,Europe,"{'central': 1, 'dominating': 1, 'fortified': 1, 'etruscan': 1, 'roman': 1, 'distant': 1, 'later': 1, 'smaller': 1, 'present': 1, 'strategic': 1, 'little': 1, 'historic': 1, 'extensive': 1, 'fierce': 1, 'annual': 1, 'ceremonial': 1, 'various': 1, 'noble': 1, 'last': 1, 'rapid': 1, 'non': 1, 'local': 1, 'bis': 1, 'regional': 1, 'external': 1, 'official': 1}"
Rouen,49.4428,1.0886,France,FR,Europe,"{'maritime': 4, 'local': 4, 'nearby': 4, 'medieval': 3, 'modern': 3, 'urban': 3, 'metropolitan': 2, '15th': 2, '13th': 2, 'economic': 2, 'long': 2, 'historical': 2, 'lower': 2, 'roman': 2, 'own': 2, '14th': 2, 'catholic': 2, 'notable': 2, 'direct': 2, 'top': 2, 'theologian': 2, 'mathematician': 2, 'protestant': 2, 'northwestern': 1, 'prosperous': 1, 'aire': 1, 'remarkable': 1, 'particular': 1, 'textile': 1, 'alive': 1, 'post': 1, 'war': 1, 'industrial': 1, 'architectural': 1, 'important': 1, 'cultural': 1, 'renowned': 1, 'occasional': 1, 'gaulish': 1, 'chief': 1, '5th': 1, '12th': 1, 'annexed': 1, 'gallo': 1, 'upstream': 1, 'noble': 1, 'lucrative': 1, 'willing': 1, 'old': 1, 'jewish': 1}"
Amvrosiivka,47.7833,38.4833,Ukraine,UA,Europe,"{'ethnic': 3, 'urban': 1, 'administrative': 1, 'dominant': 1, 'industrial': 1, 'technical': 1, 'russo': 1, 'grad': 1, 'armoured': 1, 'local': 1, 'massive': 1, 'multiple': 1, 'secondary': 1, 'lingua': 1, 'exact': 1, 'linguistic': 1, 'external': 1}"
Pecica,46.17,21.07,Romania,RO,Europe,"{'important': 3, 'economic': 2, 'western': 1, 'ancient': 1, 'dacian': 1, 'archeological': 1, 'administrative': 1, 'undeclared': 1, 'archaeological': 1, 'historic': 1, 'memorable': 1, 'entire': 1, 'complex': 1, 'political': 1, 'multicultural': 1, 'prevalent': 1, 'agricultural': 1, 'secondary': 1, 'tertiary': 1, 'thermal': 1, 'notable': 1, 'external': 1}"
Kanoni,0.1728,31.9058,Uganda,UG,Africa,"{'commercial': 1, 'administrative': 1, 'political': 1, 'nearest': 1, 'metropolitan': 1, 'following': 1, 'close': 1, 'tarmacked': 1, 'new': 1, 'elementary': 1, 'secondary': 1, 'notable': 1}"
Acerra,40.95,14.3667,Italy,IT,Europe,"{'roman': 5, 'typical': 5, 'late': 4, 'close': 3, 'wet': 3, 'southern': 2, 'great': 2, 'common': 2, 'rich': 2, 'architectural': 2, 'able': 2, 'mid': 2, 'humid': 2, 'safe': 2, 'organized': 2, 'ancient': 1, 'independent': 1, 'campanian': 1, 'latter': 1, 'certain': 1, 'full': 1, 'faithful': 1, 'vigorous': 1, 'unable': 1, 'frequent': 1, 'deserted': 1, 'colonial': 1, 'ordinary': 1, 'municipal': 1, 'bloodiest': 1, 'illegal': 1, 'higher': 1, 'enough': 1, 'uncollected': 1, 'civilized': 1, 'modern': 1, 'older': 1, 'square': 1, 'neoclassical': 1, 'geographical': 1, 'yellow': 1, 'homemade': 1, 'massive': 1, 'closed': 1, 'easy': 1, 'weakest': 1, 'powerful': 1, 'due': 1, 'liberal': 1, 'strong': 1}"
Castel San Giorgio,40.7833,14.7,Italy,IT,Europe,"{'south': 1, 'western': 1, 'ancient': 1, 'populated': 1, 'external': 1}"
Jacareacanga,-6.2222,-57.7528,Brazil,BR,South America,"{'indigenous': 3, 'northern': 1, 'very': 1, 'sustainable': 1, 'hydroelectric': 1}"
